instance,config,score,dist,time
cemb_300_450,tabu-div,20,107.83,0.00
cemb_300_450,tabu-div,30,107.94,0.08
cemb_300_450,tabu-div,55,108.32,0.10
cemb_300_450,tabu-div,85,110.68,0.13
cemb_300_450,tabu-div,115,113.90,0.16
cemb_300_450,tabu-div,155,123.52,0.19
cemb_300_450,tabu-div,205,132.34,0.21
cemb_300_450,tabu-div,240,134.11,0.24
cemb_300_450,tabu-div,255,134.26,0.27
cemb_300_450,tabu-div,305,142.68,0.30
cemb_300_450,tabu-div,345,146.25,0.33
cemb_300_450,tabu-div,380,151.78,0.37
cemb_300_450,tabu-div,415,164.11,0.40
cemb_300_450,tabu-div,430,164.86,0.44
cemb_300_450,tabu-div,460,169.88,0.47
cemb_300_450,tabu-div,500,184.20,0.51
cemb_300_450,tabu-div,550,190.70,0.54
cemb_300_450,tabu-div,555,191.26,0.60
cemb_300_450,tabu-div,590,199.10,0.64
cemb_300_450,tabu-div,630,210.05,0.67
cemb_300_450,tabu-div,645,214.36,0.72
cemb_300_450,tabu-div,650,215.01,0.76
cemb_300_450,tabu-div,695,232.54,0.80
cemb_300_450,tabu-div,730,246.51,0.84
cemb_300_450,tabu-div,770,264.12,0.89
cemb_300_450,tabu-div,810,271.41,0.93
cemb_300_450,tabu-div,860,290.98,0.98
cemb_300_450,tabu-div,865,291.14,1.03
cemb_300_450,tabu-div,895,294.49,1.08
cemb_300_450,tabu-div,900,294.79,1.12
cemb_300_450,tabu-div,935,308.76,1.17
cemb_300_450,tabu-div,965,315.77,1.22
cemb_300_450,tabu-div,980,319.45,1.27
cemb_300_450,tabu-div,1000,321.75,1.32
cemb_300_450,tabu-div,1030,325.79,1.38
cemb_300_450,tabu-div,1070,340.56,1.43
cemb_300_450,tabu-div,1095,343.38,1.49
cemb_300_450,tabu-div,1125,356.76,1.54
cemb_300_450,tabu-div,1175,373.93,1.60
cemb_300_450,tabu-div,1215,376.33,1.65
cemb_300_450,tabu-div,1260,396.71,1.71
cemb_300_450,tabu-div,1295,409.27,1.77
cemb_300_450,tabu-div,1315,415.02,1.83
cemb_300_450,tabu-div,1365,432.70,1.89
cemb_300_450,tabu-div,1395,433.01,1.95
cemb_300_450,tabu-div,1410,433.34,2.02
cemb_300_450,tabu-div,1435,434.89,2.09
cemb_300_450,tabu-div,1460,437.77,2.15
cemb_300_450,tabu-div,1470,440.05,2.22
cemb_300_450,tabu-div,1480,444.63,2.28
cemb_300_450,tabu-div,1485,449.99,2.35
cemb_300_450,tabu-div,1485,449.26,2.48
cemb_300_450,tabu-div,1485,445.54,2.55
cemb_300_450,tabu-div,1485,443.39,2.62
cemb_300_450,tabu-div,1490,449.81,2.69
cemb_300_450,tabu-div,1490,449.59,2.76
cemb_300_450,tabu-div,1490,447.12,2.83
cemb_300_450,tabu-div,1490,446.45,2.90
cemb_300_450,tabu-div,1490,444.52,2.97
cemb_300_450,tabu-div,1490,444.16,3.04
cemb_300_450,tabu-div,1490,437.30,3.11
cemb_300_450,tabu-div,1495,447.68,3.18
cemb_300_450,tabu-div,1495,446.57,3.25
cemb_300_450,tabu-div,1495,445.40,3.32
cemb_300_450,tabu-div,1500,448.32,3.80
cemb_300_450,tabu-div,1500,446.16,3.87
cemb_300_450,tabu-div,1525,448.10,3.93
cemb_300_450,tabu-div,1525,448.03,4.01
cemb_300_450,tabu-div,1525,447.91,4.08
cemb_300_450,tabu-div,1525,445.30,4.15
cemb_300_450,tabu-div,1540,448.86,4.22
cemb_300_450,tabu-div,1540,444.32,4.29
cemb_300_450,tabu-div,1575,449.85,4.36
cemb_300_450,tabu-div,1575,439.15,4.43
cemb_300_450,tabu-div,1580,448.42,4.50
cemb_300_450,tabu-div,1590,446.40,4.57
cemb_300_450,tabu-div,1600,448.69,4.64
cemb_300_450,tabu-div,1600,448.59,4.71
cemb_300_450,tabu-div,1610,450.00,5.10
cemb_300_450,tabu-div,1610,449.88,5.17
cemb_300_450,tabu-div,1610,449.86,5.25
cemb_300_450,tabu-div,1610,449.72,7.05
cemb_300_450,tabu-div,1610,447.42,7.13
cemb_300_450,tabu-div,1620,449.71,7.20
cemb_300_450,tabu-div,1630,449.66,7.51
cemb_300_450,tabu-div,1640,449.72,8.21
cemb_300_450,tabu-div,1665,449.61,8.74
cemb_300_450,tabu-div,1680,446.81,8.81
cemb_300_450,tabu-div,1685,449.48,8.89
cemb_300_450,tabu-div,1690,449.78,11.77
cemb_300_450,tabu-div,1690,449.73,11.84
cemb_300_450,tabu-div,1690,448.89,11.91
cemb_300_450,tabu-div,1690,448.80,11.98
cemb_300_450,tabu-div,1710,448.86,12.56
cemb_300_450,tabu-div,1725,449.68,12.62
cemb_300_450,tabu-div,1735,449.12,14.37
cemb_300_450,tabu-div,1750,449.32,23.74
cemb_300_450,tabu-div,1760,449.67,23.81
cemb_300_450,tabu-div,1760,445.37,31.11
cemb_300_450,tabu-div,1770,449.10,31.18
cemb_300_450,tabu-div,1770,449.02,31.25
cemb_300_450,tabu-div,1780,449.32,33.99
