instance,config,score,dist,time
tsiligirides_problem_2_budget_25,tabu-div,25,4.18,0.00
tsiligirides_problem_2_budget_25,tabu-div,35,4.29,0.10
tsiligirides_problem_2_budget_25,tabu-div,50,6.14,0.13
tsiligirides_problem_2_budget_25,tabu-div,60,6.57,0.16
tsiligirides_problem_2_budget_25,tabu-div,70,7.55,0.19
tsiligirides_problem_2_budget_25,tabu-div,90,10.13,0.23
tsiligirides_problem_2_budget_25,tabu-div,110,13.78,0.26
tsiligirides_problem_2_budget_25,tabu-div,130,15.65,0.30
tsiligirides_problem_2_budget_25,tabu-div,150,17.89,0.33
tsiligirides_problem_2_budget_25,tabu-div,170,20.72,0.37
tsiligirides_problem_2_budget_25,tabu-div,185,21.96,0.40
tsiligirides_problem_2_budget_25,tabu-div,200,22.22,0.44
tsiligirides_problem_2_budget_25,tabu-div,200,21.49,0.51
tsiligirides_problem_2_budget_25,tabu-div,200,21.07,0.55
tsiligirides_problem_2_budget_25,tabu-div,200,19.88,0.59
tsiligirides_problem_2_budget_25,tabu-div,230,24.13,0.62
