instance,config,score,dist,time
cemb_300_450,tabu,20,107.83,0.00
cemb_300_450,tabu,30,107.94,0.08
cemb_300_450,tabu,55,108.32,0.11
cemb_300_450,tabu,85,110.68,0.13
cemb_300_450,tabu,115,113.90,0.16
cemb_300_450,tabu,155,123.52,0.19
cemb_300_450,tabu,205,132.34,0.22
cemb_300_450,tabu,240,134.11,0.24
cemb_300_450,tabu,255,134.26,0.27
cemb_300_450,tabu,305,142.68,0.30
cemb_300_450,tabu,345,146.25,0.34
cemb_300_450,tabu,380,151.78,0.37
cemb_300_450,tabu,415,164.11,0.40
cemb_300_450,tabu,430,164.86,0.44
cemb_300_450,tabu,460,169.88,0.47
cemb_300_450,tabu,500,184.20,0.51
cemb_300_450,tabu,550,190.70,0.55
cemb_300_450,tabu,555,191.26,0.59
cemb_300_450,tabu,590,199.10,0.63
cemb_300_450,tabu,630,210.05,0.68
cemb_300_450,tabu,645,214.36,0.72
cemb_300_450,tabu,650,215.01,0.76
cemb_300_450,tabu,695,232.54,0.80
cemb_300_450,tabu,730,246.51,0.84
cemb_300_450,tabu,770,264.12,0.89
cemb_300_450,tabu,810,271.41,0.93
cemb_300_450,tabu,860,290.98,0.98
cemb_300_450,tabu,865,291.14,1.03
cemb_300_450,tabu,895,294.49,1.08
cemb_300_450,tabu,900,294.79,1.13
cemb_300_450,tabu,935,308.76,1.18
cemb_300_450,tabu,965,315.77,1.23
cemb_300_450,tabu,980,319.45,1.28
cemb_300_450,tabu,1000,321.75,1.33
cemb_300_450,tabu,1030,325.79,1.38
cemb_300_450,tabu,1070,340.56,1.44
cemb_300_450,tabu,1095,343.38,1.49
cemb_300_450,tabu,1125,356.76,1.55
cemb_300_450,tabu,1175,373.93,1.60
cemb_300_450,tabu,1215,376.33,1.66
cemb_300_450,tabu,1260,396.71,1.72
cemb_300_450,tabu,1295,409.27,1.78
cemb_300_450,tabu,1315,415.02,1.84
cemb_300_450,tabu,1365,432.70,1.90
cemb_300_450,tabu,1395,433.01,1.96
cemb_300_450,tabu,1410,433.34,2.02
cemb_300_450,tabu,1435,434.89,2.10
cemb_300_450,tabu,1460,437.77,2.16
cemb_300_450,tabu,1470,440.05,2.22
cemb_300_450,tabu,1480,444.63,2.29
cemb_300_450,tabu,1485,449.99,2.35
cemb_300_450,tabu,1490,449.81,2.70
cemb_300_450,tabu,1495,447.68,3.19
