instance,config,score,dist,time
cemb_300_250,tabu-div,20,107.83,0.00
cemb_300_250,tabu-div,30,107.94,0.09
cemb_300_250,tabu-div,55,108.32,0.11
cemb_300_250,tabu-div,85,110.68,0.14
cemb_300_250,tabu-div,115,113.90,0.17
cemb_300_250,tabu-div,155,123.52,0.19
cemb_300_250,tabu-div,205,132.34,0.22
cemb_300_250,tabu-div,240,134.11,0.25
cemb_300_250,tabu-div,255,134.26,0.28
cemb_300_250,tabu-div,305,142.68,0.31
cemb_300_250,tabu-div,345,146.25,0.34
cemb_300_250,tabu-div,380,151.78,0.38
cemb_300_250,tabu-div,415,164.11,0.41
cemb_300_250,tabu-div,430,164.86,0.45
cemb_300_250,tabu-div,460,169.88,0.48
cemb_300_250,tabu-div,500,184.20,0.52
cemb_300_250,tabu-div,550,190.70,0.55
cemb_300_250,tabu-div,555,191.26,0.59
cemb_300_250,tabu-div,590,199.10,0.63
cemb_300_250,tabu-div,630,210.05,0.67
cemb_300_250,tabu-div,645,214.36,0.71
cemb_300_250,tabu-div,650,215.01,0.75
cemb_300_250,tabu-div,695,232.54,0.79
cemb_300_250,tabu-div,730,246.51,0.83
cemb_300_250,tabu-div,745,248.91,1.15
cemb_300_250,tabu-div,770,249.31,1.82
cemb_300_250,tabu-div,775,248.24,2.90
cemb_300_250,tabu-div,805,249.72,2.94
cemb_300_250,tabu-div,825,247.44,3.48
cemb_300_250,tabu-div,845,248.78,3.53
cemb_300_250,tabu-div,875,249.14,3.57
cemb_300_250,tabu-div,885,248.98,9.68
cemb_300_250,tabu-div,885,248.78,11.97
cemb_300_250,tabu-div,890,249.90,12.24
cemb_300_250,tabu-div,905,246.64,13.37
cemb_300_250,tabu-div,925,247.99,13.41
cemb_300_250,tabu-div,930,249.70,14.91
cemb_300_250,tabu-div,930,248.55,14.96
cemb_300_250,tabu-div,940,249.86,18.03
cemb_300_250,tabu-div,960,249.07,19.93
cemb_300_250,tabu-div,960,246.81,19.98
cemb_300_250,tabu-div,960,246.67,33.76
cemb_300_250,tabu-div,970,249.47,37.48
cemb_300_250,tabu-div,970,247.21,37.53
cemb_300_250,tabu-div,975,249.88,37.58
cemb_300_250,tabu-div,975,249.33,59.28
cemb_300_250,tabu-div,985,249.58,79.85
cemb_300_250,tabu-div,985,246.39,79.92
cemb_300_250,tabu-div,990,249.10,150.27
cemb_300_250,tabu-div,1000,249.62,203.11
