instance,config,score,dist,time
tsiligirides_problem_1_budget_80,ilp,10,8.68,0.00
tsiligirides_problem_1_budget_80,ilp,95,74.53,0.15
tsiligirides_problem_1_budget_80,ilp,110,78.46,0.20
tsiligirides_problem_1_budget_80,ilp,155,66.32,0.25
tsiligirides_problem_1_budget_80,ilp,170,75.17,0.30
tsiligirides_problem_1_budget_80,ilp,175,76.97,0.39
tsiligirides_problem_1_budget_80,ilp,185,76.11,0.45
tsiligirides_problem_1_budget_80,ilp,195,77.44,0.52
tsiligirides_problem_1_budget_80,ilp,205,77.81,0.57
tsiligirides_problem_1_budget_80,ilp,210,79.60,0.62
tsiligirides_problem_1_budget_80,ilp,215,76.67,0.67
tsiligirides_problem_1_budget_80,ilp,220,73.85,0.72
tsiligirides_problem_1_budget_80,ilp,230,77.30,0.78
tsiligirides_problem_1_budget_80,ilp,235,76.36,0.87
tsiligirides_problem_1_budget_80,ilp,250,78.91,1.01
tsiligirides_problem_1_budget_80,ilp,255,73.94,1.07
tsiligirides_problem_1_budget_80,ilp,260,76.28,1.15
tsiligirides_problem_1_budget_80,ilp,270,79.10,1.20
tsiligirides_problem_1_budget_80,ilp,275,76.34,1.36
tsiligirides_problem_1_budget_80,ilp,280,78.87,1.42
