instance,config,score,dist,time
cemb_300_450,tabu-int,20,107.83,0.00
cemb_300_450,tabu-int,30,107.94,0.08
cemb_300_450,tabu-int,55,108.32,0.11
cemb_300_450,tabu-int,85,110.68,0.14
cemb_300_450,tabu-int,115,113.90,0.17
cemb_300_450,tabu-int,155,123.52,0.19
cemb_300_450,tabu-int,205,132.34,0.22
cemb_300_450,tabu-int,240,134.11,0.25
cemb_300_450,tabu-int,255,134.26,0.28
cemb_300_450,tabu-int,305,142.68,0.31
cemb_300_450,tabu-int,345,146.25,0.34
cemb_300_450,tabu-int,380,151.78,0.37
cemb_300_450,tabu-int,415,164.11,0.40
cemb_300_450,tabu-int,430,164.86,0.44
cemb_300_450,tabu-int,460,169.88,0.48
cemb_300_450,tabu-int,500,184.20,0.51
cemb_300_450,tabu-int,550,190.70,0.55
cemb_300_450,tabu-int,555,191.26,0.59
cemb_300_450,tabu-int,590,199.10,0.63
cemb_300_450,tabu-int,630,210.05,0.67
cemb_300_450,tabu-int,645,214.36,0.71
cemb_300_450,tabu-int,650,215.01,0.76
cemb_300_450,tabu-int,695,232.54,0.80
cemb_300_450,tabu-int,730,246.51,0.84
cemb_300_450,tabu-int,770,264.12,0.88
cemb_300_450,tabu-int,810,271.41,0.93
cemb_300_450,tabu-int,860,290.98,0.98
cemb_300_450,tabu-int,865,291.14,1.02
cemb_300_450,tabu-int,895,294.49,1.07
cemb_300_450,tabu-int,900,294.79,1.12
cemb_300_450,tabu-int,935,308.76,1.17
cemb_300_450,tabu-int,965,315.77,1.22
cemb_300_450,tabu-int,980,319.45,1.27
cemb_300_450,tabu-int,1000,321.75,1.32
cemb_300_450,tabu-int,1030,325.79,1.38
cemb_300_450,tabu-int,1070,340.56,1.43
cemb_300_450,tabu-int,1095,343.38,1.50
cemb_300_450,tabu-int,1125,356.76,1.56
cemb_300_450,tabu-int,1175,373.93,1.61
cemb_300_450,tabu-int,1215,376.33,1.67
cemb_300_450,tabu-int,1260,396.71,1.73
cemb_300_450,tabu-int,1295,409.27,1.79
cemb_300_450,tabu-int,1315,415.02,1.85
cemb_300_450,tabu-int,1365,432.70,1.91
cemb_300_450,tabu-int,1395,433.01,1.97
cemb_300_450,tabu-int,1410,433.34,2.03
cemb_300_450,tabu-int,1435,434.89,2.11
cemb_300_450,tabu-int,1460,437.77,2.17
cemb_300_450,tabu-int,1470,440.05,2.24
cemb_300_450,tabu-int,1480,444.63,2.30
cemb_300_450,tabu-int,1485,449.99,2.37
cemb_300_450,tabu-int,1485,449.26,2.50
cemb_300_450,tabu-int,1485,445.54,2.57
cemb_300_450,tabu-int,1485,443.39,2.64
cemb_300_450,tabu-int,1490,449.81,2.71
cemb_300_450,tabu-int,1490,449.59,2.78
cemb_300_450,tabu-int,1490,447.12,2.85
cemb_300_450,tabu-int,1490,446.45,2.92
cemb_300_450,tabu-int,1490,444.52,2.99
cemb_300_450,tabu-int,1490,444.16,3.06
cemb_300_450,tabu-int,1490,437.30,3.13
cemb_300_450,tabu-int,1495,447.68,3.20
cemb_300_450,tabu-int,1495,446.57,3.27
cemb_300_450,tabu-int,1495,445.40,3.34
cemb_300_450,tabu-int,1510,448.58,3.48
cemb_300_450,tabu-int,1510,448.07,3.55
cemb_300_450,tabu-int,1515,446.21,3.64
cemb_300_450,tabu-int,1530,449.84,3.71
