instance,config,score,dist,time
tsiligirides_problem_3_budget_070,tabu-div,50,5.42,0.00
tsiligirides_problem_3_budget_070,tabu-div,60,5.42,0.12
tsiligirides_problem_3_budget_070,tabu-div,70,6.88,0.15
tsiligirides_problem_3_budget_070,tabu-div,80,8.10,0.20
tsiligirides_problem_3_budget_070,tabu-div,110,11.88,0.23
tsiligirides_problem_3_budget_070,tabu-div,130,12.98,0.26
tsiligirides_problem_3_budget_070,tabu-div,140,14.16,0.29
tsiligirides_problem_3_budget_070,tabu-div,190,20.62,0.32
tsiligirides_problem_3_budget_070,tabu-div,210,22.54,0.36
tsiligirides_problem_3_budget_070,tabu-div,240,24.71,0.40
tsiligirides_problem_3_budget_070,tabu-div,280,27.70,0.43
tsiligirides_problem_3_budget_070,tabu-div,320,31.70,0.47
tsiligirides_problem_3_budget_070,tabu-div,360,34.25,0.51
tsiligirides_problem_3_budget_070,tabu-div,380,37.12,0.55
tsiligirides_problem_3_budget_070,tabu-div,400,40.05,0.59
tsiligirides_problem_3_budget_070,tabu-div,450,48.14,0.62
tsiligirides_problem_3_budget_070,tabu-div,470,51.82,0.67
tsiligirides_problem_3_budget_070,tabu-div,490,53.72,0.71
tsiligirides_problem_3_budget_070,tabu-div,510,58.16,0.76
tsiligirides_problem_3_budget_070,tabu-div,520,60.31,0.81
tsiligirides_problem_3_budget_070,tabu-div,540,64.22,0.86
tsiligirides_problem_3_budget_070,tabu-div,550,64.76,0.91
tsiligirides_problem_3_budget_070,tabu-div,580,68.72,0.97
tsiligirides_problem_3_budget_070,tabu-div,600,69.44,1.03
tsiligirides_problem_3_budget_070,tabu-div,620,69.89,1.29
tsiligirides_problem_3_budget_070,tabu-div,630,69.18,1.56
tsiligirides_problem_3_budget_070,tabu-div,640,69.95,1.97
