instance,config,score,dist,time
set_66_1_120,tabu-int,15,6.33,0.00
set_66_1_120,tabu-int,20,6.50,0.09
set_66_1_120,tabu-int,35,8.50,0.13
set_66_1_120,tabu-int,40,8.92,0.17
set_66_1_120,tabu-int,65,11.75,0.21
set_66_1_120,tabu-int,90,12.92,0.24
set_66_1_120,tabu-int,125,15.75,0.28
set_66_1_120,tabu-int,160,16.92,0.32
set_66_1_120,tabu-int,195,19.75,0.36
set_66_1_120,tabu-int,220,20.92,0.41
set_66_1_120,tabu-int,255,23.75,0.45
set_66_1_120,tabu-int,280,24.92,0.49
set_66_1_120,tabu-int,315,27.75,0.53
set_66_1_120,tabu-int,350,28.92,0.58
set_66_1_120,tabu-int,385,31.75,0.63
set_66_1_120,tabu-int,410,32.92,0.67
set_66_1_120,tabu-int,445,35.75,0.72
set_66_1_120,tabu-int,470,36.92,0.77
set_66_1_120,tabu-int,505,39.75,0.82
set_66_1_120,tabu-int,540,40.92,0.87
set_66_1_120,tabu-int,575,43.75,0.92
set_66_1_120,tabu-int,600,44.92,0.97
set_66_1_120,tabu-int,635,47.75,1.02
set_66_1_120,tabu-int,660,48.92,1.08
set_66_1_120,tabu-int,695,51.75,1.14
set_66_1_120,tabu-int,720,52.92,1.20
set_66_1_120,tabu-int,755,55.75,1.26
set_66_1_120,tabu-int,780,56.92,1.31
set_66_1_120,tabu-int,815,59.75,1.37
set_66_1_120,tabu-int,840,60.92,1.43
set_66_1_120,tabu-int,875,63.75,1.49
set_66_1_120,tabu-int,900,64.92,1.55
set_66_1_120,tabu-int,935,67.75,1.61
set_66_1_120,tabu-int,960,68.92,1.68
set_66_1_120,tabu-int,995,71.75,1.74
set_66_1_120,tabu-int,1020,72.92,1.80
set_66_1_120,tabu-int,1055,75.75,1.87
set_66_1_120,tabu-int,1080,76.92,1.94
set_66_1_120,tabu-int,1115,79.75,2.00
set_66_1_120,tabu-int,1140,80.92,2.07
set_66_1_120,tabu-int,1175,83.75,2.14
set_66_1_120,tabu-int,1210,84.92,2.21
set_66_1_120,tabu-int,1245,87.75,2.28
set_66_1_120,tabu-int,1280,88.92,2.35
set_66_1_120,tabu-int,1315,91.75,2.42
set_66_1_120,tabu-int,1340,92.92,2.49
set_66_1_120,tabu-int,1375,95.75,2.57
set_66_1_120,tabu-int,1400,96.92,2.64
set_66_1_120,tabu-int,1435,99.75,2.72
set_66_1_120,tabu-int,1460,100.92,2.80
set_66_1_120,tabu-int,1495,103.75,2.87
set_66_1_120,tabu-int,1520,104.92,2.95
set_66_1_120,tabu-int,1535,107.75,3.03
set_66_1_120,tabu-int,1550,108.92,3.11
set_66_1_120,tabu-int,1565,111.75,3.19
set_66_1_120,tabu-int,1580,112.92,3.27
set_66_1_120,tabu-int,1595,115.75,3.35
set_66_1_120,tabu-int,1610,118.58,3.46
set_66_1_120,tabu-int,1625,119.75,3.54
