instance,config,score,dist,time
set_66_1_070,tabu-div,15,6.33,0.00
set_66_1_070,tabu-div,20,6.50,0.10
set_66_1_070,tabu-div,35,8.50,0.14
set_66_1_070,tabu-div,40,8.92,0.17
set_66_1_070,tabu-div,65,11.75,0.21
set_66_1_070,tabu-div,90,12.92,0.27
set_66_1_070,tabu-div,125,15.75,0.31
set_66_1_070,tabu-div,160,16.92,0.35
set_66_1_070,tabu-div,195,19.75,0.39
set_66_1_070,tabu-div,220,20.92,0.44
set_66_1_070,tabu-div,255,23.75,0.48
set_66_1_070,tabu-div,280,24.92,0.52
set_66_1_070,tabu-div,315,27.75,0.57
set_66_1_070,tabu-div,350,28.92,0.61
set_66_1_070,tabu-div,385,31.75,0.66
set_66_1_070,tabu-div,410,32.92,0.70
set_66_1_070,tabu-div,445,35.75,0.75
set_66_1_070,tabu-div,470,36.92,0.80
set_66_1_070,tabu-div,505,39.75,0.85
set_66_1_070,tabu-div,540,40.92,0.90
set_66_1_070,tabu-div,575,43.75,0.95
set_66_1_070,tabu-div,600,44.92,1.00
set_66_1_070,tabu-div,635,47.75,1.05
set_66_1_070,tabu-div,660,48.92,1.11
set_66_1_070,tabu-div,695,51.75,1.18
set_66_1_070,tabu-div,720,52.92,1.24
set_66_1_070,tabu-div,755,55.75,1.29
set_66_1_070,tabu-div,780,56.92,1.35
set_66_1_070,tabu-div,815,59.75,1.41
set_66_1_070,tabu-div,840,60.92,1.47
set_66_1_070,tabu-div,875,63.75,1.53
set_66_1_070,tabu-div,900,64.92,1.59
set_66_1_070,tabu-div,935,67.75,1.65
set_66_1_070,tabu-div,960,68.92,1.71
set_66_1_070,tabu-div,970,69.70,2.41
set_66_1_070,tabu-div,975,69.30,2.56
set_66_1_070,tabu-div,980,69.89,2.62
set_66_1_070,tabu-div,990,69.89,2.68
set_66_1_070,tabu-div,1000,69.89,2.99
set_66_1_070,tabu-div,1010,69.89,3.05
set_66_1_070,tabu-div,1020,69.89,3.12
set_66_1_070,tabu-div,1030,69.89,3.77
set_66_1_070,tabu-div,1040,69.81,4.62
set_66_1_070,tabu-div,1045,69.47,60.56
set_66_1_070,tabu-div,1050,69.89,60.63
set_66_1_070,tabu-div,1060,69.89,60.73
set_66_1_070,tabu-div,1070,68.24,61.04
