instance,config,score,dist,time
tsiligirides_problem_1_budget_50,ilp,10,8.68,0.00
tsiligirides_problem_1_budget_50,ilp,35,39.72,0.11
tsiligirides_problem_1_budget_50,ilp,90,48.61,0.14
tsiligirides_problem_1_budget_50,ilp,110,49.07,0.18
tsiligirides_problem_1_budget_50,ilp,115,41.93,0.26
tsiligirides_problem_1_budget_50,ilp,145,49.95,0.40
tsiligirides_problem_1_budget_50,ilp,150,48.50,0.55
tsiligirides_problem_1_budget_50,ilp,155,49.69,0.59
tsiligirides_problem_1_budget_50,ilp,170,49.25,0.99
tsiligirides_problem_1_budget_50,ilp,175,49.57,1.20
tsiligirides_problem_1_budget_50,ilp,180,49.74,2.04
tsiligirides_problem_1_budget_50,ilp,185,49.64,2.37
tsiligirides_problem_1_budget_50,ilp,190,49.79,2.45
