instance,config,score,dist,time
tsiligirides_problem_1_budget_50,tabu-div,10,4.14,0.00
tsiligirides_problem_1_budget_50,tabu-div,15,6.87,0.11
tsiligirides_problem_1_budget_50,tabu-div,25,11.96,0.14
tsiligirides_problem_1_budget_50,tabu-div,35,14.81,0.17
tsiligirides_problem_1_budget_50,tabu-div,50,20.66,0.21
tsiligirides_problem_1_budget_50,tabu-div,65,24.33,0.24
tsiligirides_problem_1_budget_50,tabu-div,75,29.03,0.28
tsiligirides_problem_1_budget_50,tabu-div,85,30.91,0.32
tsiligirides_problem_1_budget_50,tabu-div,95,33.12,0.35
tsiligirides_problem_1_budget_50,tabu-div,100,34.95,0.39
tsiligirides_problem_1_budget_50,tabu-div,105,36.57,0.43
tsiligirides_problem_1_budget_50,tabu-div,115,39.80,0.47
tsiligirides_problem_1_budget_50,tabu-div,125,43.53,0.51
tsiligirides_problem_1_budget_50,tabu-div,130,46.40,0.55
tsiligirides_problem_1_budget_50,tabu-div,135,49.98,0.64
tsiligirides_problem_1_budget_50,tabu-div,135,47.06,0.68
tsiligirides_problem_1_budget_50,tabu-div,140,48.25,0.72
tsiligirides_problem_1_budget_50,tabu-div,150,49.44,0.78
tsiligirides_problem_1_budget_50,tabu-div,150,44.84,0.82
tsiligirides_problem_1_budget_50,tabu-div,160,46.82,0.86
tsiligirides_problem_1_budget_50,tabu-div,165,49.90,0.91
tsiligirides_problem_1_budget_50,tabu-div,170,49.82,0.95
tsiligirides_problem_1_budget_50,tabu-div,175,49.94,1.00
tsiligirides_problem_1_budget_50,tabu-div,175,48.46,1.05
tsiligirides_problem_1_budget_50,tabu-div,185,49.16,1.09
tsiligirides_problem_1_budget_50,tabu-div,185,48.93,1.14
tsiligirides_problem_1_budget_50,tabu-div,185,48.79,1.48
tsiligirides_problem_1_budget_50,tabu-div,190,49.93,1.59
